Procesos,Individuos,Posiciones,Repeticiones,Tiempo Promedio,Tiempo Promedio std,Tiempo Promedio Calcular Frecuencias,Tiempo Promedio Calcular Frecuencias std,Tiempo Promedio Calcular Hoplotipo,Tiempo Promedio Calcular Hoplotipo std,speed_up_total,speed_up_frecuencias,speed_up_haplo,eficiencia_total,eficiencia_frecuencias,eficiencia_haplo
6,1000,4,10,0.1106194396968931,0.0074168725558039,0.0254489183425903,0.0033921118717469,0.0350745439529418,0.0050631029902075,1.4917647413681148,1.3135716995891917,2.3101228780810468,24.86274568946858,21.89286165981986,38.50204796801744
6,1000,6,10,0.1697560316883027,0.0135671829326178,0.0455379009246826,0.0089204048315402,0.0731631755828857,0.0048950759014886,2.639480811577348,2.4132664013260743,3.9336429338159737,43.99134685962247,40.221106688767904,65.56071556359956
6,1000,8,10,0.3889547865372151,0.0053458994701487,0.1067520141601562,0.0036223372171979,0.2310380458831787,0.0071290687452789,4.166665661906605,3.900520468546764,4.989826982020833,69.44442769844342,65.00867447577939,83.16378303368056
6,1000,10,10,1.261702578002587,0.013899103343755,0.3450566291809082,0.0093223877007356,0.8653655767440795,0.0074915912444442,5.165070635432652,4.907310468989805,5.514236736915516,86.0845105905442,81.78850781649675,91.90394561525859
6,1000,12,10,4.932308218581602,0.070308466204529,1.3042900085449218,0.0232673637341013,3.5785137176513677,0.0729678224744668,5.401110388309735,5.369713750008043,5.47286184692681,90.01850647182891,89.49522916680071,91.21436411544684
6,1500,4,10,0.1405935341259464,0.0034058326736755,0.0282501697540283,0.0023001963557882,0.0411225795745849,0.0038493473615398,1.7317444266997641,1.6372286897268804,3.1030278187807814,28.862407111662737,27.28714482878134,51.71713031301303
6,1500,6,10,0.2385022646514699,0.0068234323881514,0.0557779073715209,0.0049174566312565,0.1078282356262207,0.0047000086699368,2.852176682272728,2.903834374512453,4.1481195513067135,47.5362780378788,48.39723957520754,69.1353258551119
6,1500,8,10,0.5713966428767889,0.015130404275734,0.1531669378280639,0.0090605216338214,0.3473080396652221,0.0079588230649029,4.355926069383846,4.065631096493667,5.165866224393165,72.59876782306411,67.76051827489445,86.09777040655274
6,1500,10,10,1.9580475182039665,0.0376433934464822,0.5218711137771607,0.03364714788214,1.3639689683914185,0.026322555447633,5.158115624953306,4.868931827928369,5.489694026316312,85.96859374922178,81.14886379880616,91.4949004386052
6,1500,12,10,7.601691242237575,0.091735931406825,1.945322370529175,0.0585674157106892,5.5841718196868895,0.0667033152957026,5.4016849906972295,5.394397900675812,5.460188276911004,90.02808317828716,89.90663167793019,91.00313794851674
6,3000,4,10,0.2376137102488428,0.011335469154348,0.0446585655212402,0.0081261417938744,0.0705365896224975,0.0049993510901493,1.9120483128876133,1.912379692448307,3.495131516816356,31.867471881460226,31.87299487413845,58.25219194693927
6,3000,6,10,0.429831504705362,0.0107897782196128,0.0946199178695678,0.0087284266121761,0.205839204788208,0.0071274151834517,3.093081076834875,3.3031872071262587,4.3472441490274765,51.55135128058125,55.053120118770984,72.45406915045794
6,3000,8,10,1.0972250048769638,0.0204717974260195,0.2878143548965454,0.0103073407305786,0.6825525522232055,0.0134691112034062,4.551952857263867,4.288181580739059,5.333013009596194,75.86588095439778,71.46969301231766,88.88355015993658
6,3000,10,10,3.754517445643432,0.0740164420946168,0.9615481853485108,0.0413067320333012,2.667838430404663,0.0681677416287348,5.275155815901767,5.263078134841402,5.480253751356579,87.91926359836279,87.71796891402337,91.33756252260964
6,3000,12,10,14.993992418958806,0.103069146054523,3.8424048900604246,0.0648035234009925,11.032056164741515,0.0655080343464388,5.446173502227854,5.452503845475074,5.491814440499375,90.76955837046424,90.87506409125123,91.5302406749896
8,500,4,10,0.0841621291823685,0.0039437058768342,0.0205226421356201,0.0005683830300019,0.0245450973510742,0.0016276410651712,1.334657916216842,1.0592844645915003,2.2082776426523267,16.683223952710524,13.241055807393753,27.603470533154084
